	Step	lat	lng	distance	duration
0	1	50.9435555	1.8513512	358.0	45.0
1	2	50.9399196	1.8507115	478.0	33.0
2	3	50.937851	1.85445	422.0	68.0
3	4	50.9377215	1.8606834	2773.0	33.0
4	5	50.9356717	1.8629868	740.0	99.0
5	6	50.9355722	1.9012307	260770.0	28.0
6	7	50.9324409	1.9092932	35634.0	7994.0
7	8	49.2553221	3.9612794	764.0	1091.0
8	9	49.058728	4.2827805	95611.0	30.0
9	10	49.052674	4.2849129	92106.0	2788.0
10	11	48.2325359	4.1769826	1099.0	2642.0
11	12	47.9154807	5.2211843	111363.0	31.0
12	13	47.9056891	5.2230525	1822.0	3273.0
13	14	47.0362047	4.881408	78539.0	57.0
14	15	47.0215186	4.8708536	48992.0	2258.0
15	16	46.3564959	4.8287337	24176.0	1459.0
16	17	45.9399984	4.7228245	196347.0	922.0
17	18	45.7489351	4.8284373	518.0	6228.0
18	19	44.1331867	4.7864616	78938.0	16.0
19	20	44.1297072	4.7907677	19629.0	2404.0
20	21	43.5604106	5.2283098	281.0	645.0
21	22	43.4064354	5.2914327	13406.0	10.0
22	23	43.4052913	5.2945147	192.0	583.0
23	24	43.3086993	5.3664672	1017.0	16.0
24	25	43.3070103	5.3659852	775.0	82.0
25	26	43.2980668	5.3633814	357.0	62.0
26	27	43.2916932	5.3657428	315.0	32.0
27	28	43.2922386	5.3649138	84.0	56.0
28	29	43.2928578	5.3686826	203.0	18.0
29	30	43.2921321	5.3689835	203.0	55.0
30	31	43.2903592	5.3695848	292.0	52.0
