	lat	lng	distance	duration	vit.moy
0	50.9435555	1.8513512	432	45	32.4
1	50.9399196	1.8507115	358	33	36.0
2	50.937851	1.85445	478	68	25.2
3	50.9377215	1.8606834	422	33	43.2
4	50.9356717	1.8629868	2773	99	100.8
5	50.9355722	1.9012307	740	28	93.6
6	50.9324409	1.9092932	260770	7994	115.2
7	49.2553221	3.9612794	35634	1091	115.2
8	49.058728	4.2827805	764	30	90.0
9	49.052674	4.2849129	95611	2788	122.4
10	48.2325359	4.1769826	92106	2642	122.4
11	47.9154807	5.2211843	1099	31	126.0
12	47.9056891	5.2230525	111363	3273	122.4
13	47.0362047	4.881408	1822	57	111.6
14	47.0215186	4.8708536	78539	2258	122.4
15	46.3564959	4.8287337	48992	1459	118.8
16	45.9399984	4.7228245	24176	922	93.6
17	45.7489351	4.8284373	196347	6228	111.6
18	44.1331867	4.7864616	518	16	115.2
19	44.1297072	4.7907677	78938	2404	115.2
20	43.5604106	5.2283098	19629	645	108.0
21	43.4064354	5.2914327	281	10	100.8
22	43.4052913	5.2945147	13406	583	79.2
23	43.3086993	5.3664672	192	16	43.2
24	43.3070103	5.3659852	1017	82	43.2
25	43.2980668	5.3633814	775	62	43.2
26	43.2916932	5.3657428	357	32	39.6
27	43.2922386	5.3649138	315	56	18.0
28	43.2928578	5.3686826	84	18	14.4
29	43.2921321	5.3689835	203	55	10.8
30	43.2903592	5.3695848	203	52	10.8
31	43.2908039	5.3720159	292	57	18.0
